11119500	11119745	11119750	11119940	11120000
0.294	0.149	0.18	0.142	0.418
0.294	0.149	0.181	0.142	0.42
0.294	0.148	0.18	0.142	0.419
0.293	0.148	0.18	0.142	0.418
0.292	0.148	0.18	0.141	0.418
0.292	0.148	0.179	0.141	0.417
0.291	0.147	0.179	0.141	0.416
0.291	0.147	0.179	0.141	0.415
0.29	0.147	0.178	0.14	0.415
0.289	0.146	0.178	0.14	0.414
0.289	0.146	0.177	0.14	0.413
0.288	0.146	0.177	0.139	0.413
0.287	0.145	0.177	0.139	0.412
0.287	0.145	0.176	0.139	0.411
0.286	0.166	0.198	0.284	0.616
0.293	0.275	0.321	1.042	1.875
0.316	0.381	0.448	1.75	3.239
0.321	0.384	0.455	1.769	3.371
0.319	0.381	0.452	1.607	3.184
0.319	0.377	0.447	1.416	2.93
0.318	0.371	0.44	1.225	2.649
1.346	0.38	0.447	1.052	2.37
5.331	0.387	0.452	0.904	2.114
7.501	0.382	0.445	0.781	1.886
6.626	0.368	0.43	0.679	1.689
5.481	0.355	0.414	0.596	1.52
4.406	0.34	0.398	0.528	1.376
3.527	0.325	0.381	0.472	1.255
2.846	0.31	0.364	0.426	1.151
2.329	0.295	0.347	0.385	1.059
1.935	0.28	0.331	0.352	0.979
1.64	0.491	0.561	0.97	2.039
1.418	1.005	1.166	2.792	5.567
1.236	1.213	1.429	3.579	7.313
1.087	1.14	1.349	3.122	6.623
0.968	1.058	1.255	2.597	5.758
0.87	0.967	1.152	2.106	4.888
0.786	0.875	1.045	1.697	4.108
0.716	0.785	0.942	1.375	3.454
0.66	0.755	0.906	1.295	3.232
0.612	0.776	0.934	1.417	3.481
0.569	0.738	0.894	1.344	3.339
0.532	0.662	0.806	1.146	2.903
0.496	0.596	0.729	0.986	2.542
0.467	0.54	0.663	0.857	2.245
0.449	0.701	0.839	1.334	3.005
0.434	1.114	1.331	2.709	5.639
0.417	1.266	1.525	3.25	6.841
0.397	1.168	1.413	2.816	6.116
0.38	1.059	1.285	2.335	5.269
0.365	0.954	1.161	1.907	4.479
0.346	0.855	1.044	1.554	3.791
0.335	0.765	0.936	1.273	3.215
0.326	0.683	0.84	1.054	2.745
0.32	0.612	0.755	0.884	2.364
0.308	0.55	0.681	0.751	2.056
0.299	0.496	0.617	0.647	1.807
0.295	0.451	0.563	0.563	1.604
0.292	0.412	0.516	0.497	1.438
0.289	0.378	0.474	0.443	1.301
0.285	0.347	0.438	0.397	1.182
0.283	0.318	0.403	0.36	1.081
0.28	0.296	0.375	0.329	0.998
0.277	0.276	0.351	0.3	0.924
0.275	0.258	0.328	0.278	0.86
0.271	0.242	0.307	0.256	0.802
0.27	0.227	0.289	0.239	0.755
0.268	0.213	0.272	0.225	0.716
0.267	0.204	0.261	0.214	0.677
