3	4	5	6	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	26	27	28	29	30	31	32	33	34	37	38	39	40	42	43	46	49	50	52	53	54	55	57	58	59	62	66	67	69	70	71	73	75	76	77	78	79	80	82	83	85	86	87	88	89	90	91	93	94	95	96	97	99	100	101	103	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122
13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698	13.698
4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62	4.62
3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034	3.034
2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207	2.207
1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931	1.931
1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689	1.689
1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655
1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582	1.582
1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514	1.514
